species,lat_cat,elev_cat,year,area,age,val,pven,measure,nichemapr
cinereus,-16.5,1200,1938,ventral,adult,0.0117485,0.275718016,lenght,LHAIRV
herbertensis,-18.5,700,1988,dorsal,adult,0.015180416666666667,0.348379245,lenght,LHAIRD
herbertensis,-18.5,700,1988,ventral,adult,0.015180416666666667,0.348379245,lenght,LHAIRV
herbertensis,-18.5,800,1988,dorsal,adult,0.010666499999999999,0.334212773,lenght,LHAIRD
herbertensis,-18.5,800,1988,ventral,adult,0.010666499999999999,0.334212773,lenght,LHAIRV
herbertensis,-18,700,1913,dorsal,adult,0.012029535714285715,0.349565217,lenght,LHAIRD
herbertensis,-18,700,1913,ventral,adult,0.012029535714285715,0.349565217,lenght,LHAIRV
herbertensis,-18,800,1976,dorsal,adult,0.010467416666666667,0.294911205,lenght,LHAIRD
herbertensis,-18,800,1976,ventral,adult,0.010467416666666667,0.294911205,lenght,LHAIRV
herbertensis,-17.5,900,1988,dorsal,adult,0.011281958333333333,0.32096591500000005,lenght,LHAIRD
herbertensis,-17.5,900,1988,ventral,adult,0.011281958333333333,0.32096591500000005,lenght,LHAIRV
herbertensis,-17.5,1000,1950,dorsal,adult,0.011631,0.279666343,lenght,LHAIRD
herbertensis,-17.5,1000,1950,dorsal,juevenile,0.011631,0.294425087,lenght,LHAIRD
herbertensis,-17.5,1000,1950,ventral,adult,0.011631,0.279666343,lenght,LHAIRV
herbertensis,-17.5,1000,1950,ventral,juevenile,0.011631,0.294425087,lenght,LHAIRV
herbertensis,-17.5,1100,1956,dorsal,adult,0.015112750000000001,0.317551457,lenght,LHAIRD
herbertensis,-17.5,1100,1956,ventral,adult,0.015112750000000001,0.317551457,lenght,LHAIRV
herbertensis,-17.5,1100,1996,dorsal,adult,0.01927525,NA,lenght,LHAIRD
herbertensis,-17,500,1922,dorsal,adult,0.010945916666666666,0.308809293,lenght,LHAIRD
herbertensis,-17,500,1922,ventral,adult,0.010945916666666666,0.308809293,lenght,LHAIRV
herbertensis,-17,500,1937,dorsal,adult,0.011199833333333332,0.256797583,lenght,LHAIRD
herbertensis,-17,500,1937,ventral,adult,0.011199833333333332,0.256797583,lenght,LHAIRV
herbertensis,-17,500,1951,dorsal,adult,0.012734875,0.289916742,lenght,LHAIRD
herbertensis,-17,500,1951,ventral,adult,0.012734875,0.289916742,lenght,LHAIRV
herbertensis,-17,500,1956,dorsal,adult,0.014693999999999999,0.312073815,lenght,LHAIRD
herbertensis,-17,500,1956,ventral,adult,0.014693999999999999,0.312073815,lenght,LHAIRV
herbertensis,-17,1200,1956,dorsal,adult,0.0110175,0.325335689,lenght,LHAIRD
