QSOL,QIRIN,QGEN,QEVAP,QIROUT,QCONV,QCOND,ENB,NTRY,SUCCESS,dates,site
0,59.57177019338539,2.764994303385418,0.24197151789724597,61.43726833378305,0.6593019992382849,-0,-0.0017773541477676957,1,1,2019-11-06T13:00:00Z,AU10A
0,59.58535747669613,2.764994303385418,0.2454881385613305,61.43562070667577,0.6756365233679589,-0,-0.0063935885235038015,1,1,2019-11-06T14:00:00Z,AU10A
0,59.609861471861656,2.764994303385418,0.24911197296753412,61.4366431768767,0.6956245176720146,-0,-0.006523892269167941,1,1,2019-11-06T15:00:00Z,AU10A
0,59.57539389150452,2.849850124782987,0.2557836711888519,61.39651593164429,0.7727547453718935,-0,1.896680824824415e-4,1,1,2019-11-06T16:00:00Z,AU10A
0,59.639250354762396,2.866821289062501,0.2636047010272835,61.38889103986996,0.8543109222517458,-0,-7.35019324099806e-4,1,1,2019-11-06T17:00:00Z,AU10A
0,59.62893636067507,2.866821289062501,0.2684067068927257,61.38960118112878,0.8401297636630014,-0,-0.0023800019469302214,1,1,2019-11-06T18:00:00Z,AU10A
0,59.59819377140897,2.917734781901043,0.27046700460232453,61.36349399549188,0.882951972455416,-0,-9.844192395882523e-4,1,1,2019-11-06T19:00:00Z,AU10A
0,59.61880342956789,2.968648274739585,0.27900489887991897,61.343999773206605,0.9561593590549526,-0,0.00828767316600354,1,1,2019-11-06T20:00:00Z,AU10A
0,59.10302570535511,2.764994303385418,0.2246563802879321,61.44117198118539,0.20181338543158353,-0,3.7826183563538507e-4,1,1,2019-11-06T21:00:00Z,AU10A
0,58.88865344169891,2.776782490248751,0.29452397671411823,62.89995007324351,-1.5262551798485335,-0,-0.0027829381613901916,1,1,2019-11-06T22:00:00Z,AU10A
0,57.613959766748096,2.8273623147255007,0.2858407190200297,63.0091128797727,-2.8623759558093944,-0,0.008744438490261075,1,1,2019-11-06T23:00:00Z,AU10A
0,56.94828260945271,2.80979266363017,0.2895382816256882,63.03019102960552,-3.562410299792335,-0,7.562616440179859e-4,1,1,2019-11-07T00:00:00Z,AU10A
0,54.68087313101048,2.209924483072337,0.2411782124834691,66.85708292354329,-10.201379827805336,-0,-0.006083694138635298,1,1,2019-11-07T01:00:00Z,AU10A
0,52.490236251032016,0.5778666359245119,0.07422476510291563,66.98306942329467,-13.986509179416785,-0,-0.002682122024305067,1,1,2019-11-07T02:00:00Z,AU10A
0,51.60634721254941,-0.046155482102597394,-0.01628175499603235,67.02904934391854,-15.449693593998354,-0,-0.002882264477228842,1,1,2019-11-07T03:00:00Z,AU10A
0,51.946110102066605,0.19385302483090622,0.13183155157608661,67.01906444011354,-15.011259785947825,-0,3.2692115571794633e-4,1,1,2019-11-07T04:00:00Z,AU10A
0,53.24292830518826,1.177887903258271,0.29577825417873116,66.94812523722996,-12.833320996254042,-0,0.010233713291967872,1,1,2019-11-07T05:00:00Z,AU10A
0,55.322711599729196,2.785944899712745,0.4782245167371756,66.82468772995404,-9.191388841923773,-0,-0.0028669053256886734,1,1,2019-11-07T06:00:00Z,AU10A
0,55.01735181214579,2.812225559038332,0.2634397855779705,63.205823126453986,-5.640955676460653,-0,0.001270135612770673,1,1,2019-11-07T07:00:00Z,AU10A
0,58.7350557313566,2.7883548513420884,0.29707651717393313,62.96366795780085,-1.7414286407499122,-0,0.004094748473755683,1,1,2019-11-07T08:00:00Z,AU10A
0,60.24138707978726,2.746157123971828,0.28912942506051154,62.63214869532842,0.05902059383306754,-0,0.0072454895370825945,1,1,2019-11-07T09:00:00Z,AU10A
0,59.5512139800715,2.73105197482639,0.2607390161300653,61.470952338851234,0.5390454525888176,-0,0.011529147327768996,1,1,2019-11-07T10:00:00Z,AU10A
0,59.559945821169954,2.7989366319444455,0.2627589733453984,61.42415738725034,0.6775996938130997,-0,-0.005633601294436463,1,1,2019-11-07T11:00:00Z,AU10A
0,59.54841810155886,2.7989366319444455,0.25871610227203445,61.42144178344774,0.6756692691219028,-0,-0.008472421338389768,1,1,2019-11-07T12:00:00Z,AU10A
0,59.41707737843322,2.866821289062501,0.25477343206180536,61.39269871701674,0.6292587361898037,-0,0.007167782227387676,1,1,2019-11-07T13:00:00Z,AU10A
0,59.39188828977747,2.9007636176215286,0.2623999655800966,61.36958942751254,0.6667660676064208,-0,-0.0061035533000692865,1,1,2019-11-07T14:00:00Z,AU10A
